transaction_id,transaction_date,transaction_amount
1001,,1000
1002,2023/04/20,100
1003,15-05-2023,750
1004,,250
1005,03-15-2023,1500
1006,invalid,1000
1007,15-05-2023,750
1008,15-05-2023,100
1009,,100
1010,02/10/2023,500
1011,03-15-2023,500
1012,,-200
1013,03-15-2023,250
1014,03-15-2023,0
1015,invalid,750
1016,15-05-2023,750
1017,2023/04/20,0
1018,invalid,-200
1019,invalid,1500
1020,03-15-2023,1500
1021,2023-06-25,-200
1022,15-05-2023,1500
1023,02/10/2023,500
1024,invalid,750
1025,2023/04/20,-200
1026,2023-06-25,750
1027,2023-06-25,0
1028,02/10/2023,100
1029,invalid,500
1030,2023/04/20,1000
